PW_MODEL_PW2281S_20_6 
Capacity=0.8114AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 0.79961615801, 1.4411730766 
1, 0.87727695704, 1.3070888519 
2, 0.92413717508, 1.2232322693 
3, 0.95632898808, 1.097161293 
4, 0.97999805212, 1.1292467117 
5, 0.99894785881, 1.1178216934 
6, 1.0141297579, 1.0838117599 
7, 1.0276837349, 1.0604391098 
8, 1.0390039682, 1.1659040451 
9, 1.0495116711, 1.1486282349 
10, 1.0588456392, 1.0906667709 
11, 1.0675884485, 1.0852375031 
12, 1.0758141279, 1.0627174377 
13, 1.0830880404, 1.0766201019 
14, 1.0896196365, 1.0695972443 
15, 1.0956488848, 1.0583953857 
16, 1.1015635729, 1.0318803787 
17, 1.1072309017, 0.98460006714 
18, 1.1122914553, 0.97892189026 
19, 1.1172466278, 0.9750957489 
20, 1.1219526529, 0.97653198242 
21, 1.1263689995, 0.97727680206 
22, 1.1305831671, 0.97414493561 
23, 1.1347887516, 0.97013950348 
24, 1.1388936043, 0.96991825104 
25, 1.1429086924, 0.9686870575 
26, 1.146977663, 0.96981525421 
27, 1.1507657766, 0.97660064697 
28, 1.1544630527, 0.97998428345 
29, 1.1580660343, 0.98166465759 
30, 1.1617879868, 0.98100185394 
31, 1.1651480198, 0.98108959198 
32, 1.1683322191, 0.9821138382 
33, 1.1716196537, 0.98483371735 
34, 1.1751286983, 0.9858007431 
35, 1.1782925129, 0.98672389984 
36, 1.1813328266, 0.98572444916 
37, 1.1842083931, 0.98547554016 
38, 1.1870415211, 0.98030853271 
39, 1.189912796, 0.97749042511 
40, 1.1928042173, 0.97639274597 
41, 1.1957113743, 0.97796344757 
42, 1.1987421513, 0.97155475616 
43, 1.2015196085, 0.9743270874 
44, 1.2044426203, 0.97451019287 
45, 1.2073858976, 0.96921157837 
46, 1.2104415894, 0.96623039246 
47, 1.2133630514, 0.9688911438 
48, 1.2163425684, 0.96967983246 
49, 1.219405055, 0.96814918518 
50, 1.2225271463, 0.97030639648 
51, 1.2257789373, 0.96401023865 
52, 1.2289079428, 0.96707439423 
53, 1.2321209908, 0.96706581116 
54, 1.2353658676, 0.9635181427 
55, 1.2385114431, 0.96626472473 
56, 1.241568327, 0.96357345581 
57, 1.2445921898, 0.96362686157 
58, 1.2477054596, 0.96720123291 
59, 1.2510612011, 0.96765518188 
60, 1.2541787624, 0.96588897705 
61, 1.2573646307, 0.96559524536 
62, 1.2606122494, 0.96470069885 
63, 1.2639456987, 0.96071243286 
64, 1.2673481703, 0.96869850159 
65, 1.2708586454, 0.91633605957 
66, 1.2744216919, 0.9176197052 
67, 1.2782306671, 0.91812896729 
68, 1.2819693089, 0.91961097717 
69, 1.2857810259, 0.92011833191 
70, 1.2896150351, 0.91687202454 
71, 1.2936559916, 0.9095954895 
72, 1.2976614237, 0.91724205017 
73, 1.3018548489, 0.90884780884 
74, 1.3062002659, 0.90769958496 
75, 1.3105511665, 0.90564155579 
76, 1.3150779009, 0.90700149536 
77, 1.3195546865, 0.90731239319 
78, 1.3239791393, 0.90709495544 
79, 1.3284932375, 0.90848922729 
80, 1.3332480192, 0.91153526306 
81, 1.3376653194, 0.87964248657 
82, 1.3421366215, 0.88282585144 
83, 1.3466783762, 0.87276077271 
84, 1.3516100645, 1.3612880707 
85, 1.3564227819, 1.3566474915 
86, 1.3613505363, 1.3505420685 
87, 1.3665642738, 1.3500766754 
88, 1.3724484444, 1.3442363739 
89, 1.3786507845, 1.3398246765 
90, 1.3855540752, 1.3317871094 
91, 1.393227458, 1.3313655853 
92, 1.4021493196, 1.3349285126 
93, 1.411665678, 1.3274269104 
94, 1.4222824574, 1.3292789459 
95, 1.434371829, 1.2920742035 
96, 1.4488698244, 1.287273407 
97, 1.4651595354, 1.288110733 
98, 1.4848724604, 1.29454422 
99, 1.5106965303, 0.82168197632 
100, 1.5641961098, 0.83628463745 
