PW_MODEL_PW2281S_20_6
Capacity=2.3633AH
SOC(%), Open Voltage(V), ESR(ohm)
0,1.599965215,0.580263933
1,1.792334437,0.572336515
2,1.881337404,0.56601127
3,1.93736136,0.55918932
4,1.9780128,0.553576152
5,2.010145903,0.547699134
6,2.03763938,0.542888641
7,2.062648296,0.538655917
8,2.085273027,0.53498586
9,2.106651545,0.532131195
10,2.126378059,0.528939565
11,2.144499064,0.525310834
12,2.16172719,0.522931417
13,2.177791834,0.519251823
14,2.192878246,0.515478452
15,2.207108975,0.511611303
16,2.22070694,0.507774353
17,2.233566761,0.503222148
18,2.245890617,0.499159495
19,2.257583857,0.49530983
20,2.268860817,0.491565069
21,2.279530525,0.48787117
22,2.289535284,0.484848022
23,2.299293995,0.481414795
24,2.308705092,0.478129387
25,2.317536831,0.474696159
26,2.326188803,0.472671191
27,2.334601402,0.47021548
28,2.34248066,0.467640559
29,2.350180388,0.465982755
30,2.357841015,0.464496613
31,2.365142584,0.462670326
32,2.372136116,0.461535454
33,2.37903738,0.460063616
34,2.385830641,0.458606084
35,2.392506599,0.456749598
36,2.398858309,0.455185572
37,2.40533185,0.453637441
38,2.411352158,0.452179909
39,2.417425394,0.450708071
40,2.423206329,0.449050268
41,2.429097891,0.447594325
42,2.434729338,0.445369085
43,2.440471172,0.443143845
44,2.445907116,0.440659523
45,2.451179981,0.438898404
46,2.456383467,0.436534882
47,2.461669922,0.434495608
48,2.466790915,0.431826909
49,2.472022057,0.429526965
50,2.477004767,0.427149137
51,2.481985331,0.423914591
52,2.487006903,0.422714551
53,2.491812706,0.419494311
54,2.496588469,0.41730245
55,2.501676798,0.414433479
56,2.506443739,0.412133535
57,2.511407614,0.409832001
58,2.516376734,0.407347679
59,2.521564007,0.404955546
60,2.526615858,0.401859283
61,2.531678915,0.39920489
62,2.53689146,0.394908587
63,2.542097569,0.39273262
64,2.54719305,0.389436086
65,2.552767038,0.385923386
66,2.558235407,0.382242203
67,2.563919544,0.378729502
68,2.569672823,0.374328295
69,2.575925589,0.369820595
70,2.582214356,0.366381009
71,2.588651419,0.362917582
72,2.595301867,0.358484586
73,2.602357626,0.353423754
74,2.609822273,0.348361333
75,2.617441177,0.343376795
76,2.625336409,0.338314374
77,2.633783817,0.33393383
78,2.642451763,0.329147975
79,2.651450872,0.324821472
80,2.660627365,0.321124395
81,2.670236588,0.317444801
82,2.68009162,0.313412348
83,2.690054417,0.3094546
84,2.700086355,0.305371284
85,2.710079432,0.302351316
86,2.720056057,0.299941699
87,2.730300188,0.298670133
88,2.741149187,0.297824542
89,2.75314641,0.298194885
90,2.767473459,0.30143102
91,2.785279036,0.308977763
92,2.80704546,0.321122805
93,2.83157301,0.332516034
94,2.856945038,0.329699516
95,2.884335041,0.318198204
96,2.91591835,0.306990941
97,2.953511238,0.297198296
98,3.000663996,0.293242137
99,3.06242013,0.303454399
100,3.150832653,0.723519325
