PW_MODEL_PW2281S_20_6 
Capacity=1.5147AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 0.99954223633, 0.034770965576 
1, 1.0597233772, 0.032806396484 
2, 1.0900962353, 0.0319480896 
3, 1.1078789234, 0.031356811523 
4, 1.1202483177, 0.031023025513 
5, 1.1299102306, 0.030698776245 
6, 1.1375231743, 0.030479431152 
7, 1.1438522339, 0.030307769775 
8, 1.149461031, 0.030126571655 
9, 1.154263258, 0.029945373535 
10, 1.158261776, 0.029649734497 
11, 1.1623148918, 0.029535293579 
12, 1.1659042835, 0.029430389404 
13, 1.1693816185, 0.029230117798 
14, 1.172501564, 0.029163360596 
15, 1.1754090786, 0.029096603394 
16, 1.1783180237, 0.029058456421 
17, 1.1809251308, 0.028924942017 
18, 1.1834588051, 0.028867721558 
19, 1.1859078407, 0.028781890869 
20, 1.1880502701, 0.028762817383 
21, 1.1902799606, 0.028696060181 
22, 1.1925265789, 0.028657913208 
23, 1.194647789, 0.028581619263 
24, 1.1967175007, 0.028619766235 
25, 1.198807478, 0.02857208252 
26, 1.2008025646, 0.028486251831 
27, 1.202753067, 0.028467178345 
28, 1.2047002316, 0.028457641602 
29, 1.2065830231, 0.028409957886 
30, 1.2085959911, 0.02833366394 
31, 1.2105031013, 0.028257369995 
32, 1.2122359276, 0.028285980225 
33, 1.2139909267, 0.028200149536 
34, 1.2156498432, 0.028209686279 
35, 1.2173261642, 0.028133392334 
36, 1.2191531658, 0.028066635132 
37, 1.2207021713, 0.028066635132 
38, 1.2221517563, 0.028038024902 
39, 1.2237384319, 0.027990341187 
40, 1.2253086567, 0.027875900269 
41, 1.2267487049, 0.027780532837 
42, 1.2280037403, 0.027742385864 
43, 1.2291705608, 0.027723312378 
44, 1.2302598953, 0.027675628662 
45, 1.2312970161, 0.027627944946 
46, 1.2322225571, 0.027675628662 
47, 1.2330732346, 0.027656555176 
48, 1.2338573933, 0.027618408203 
49, 1.2345879078, 0.027589797974 
50, 1.2353124619, 0.027599334717 
51, 1.235973835, 0.027599334717 
52, 1.2365703583, 0.027627944946 
53, 1.2371344566, 0.02758026123 
54, 1.2375781536, 0.027637481689 
55, 1.2380025387, 0.027618408203 
56, 1.2384097576, 0.027666091919 
57, 1.2387669086, 0.027647018433 
58, 1.2391426563, 0.027656555176 
59, 1.2395076752, 0.027704238892 
60, 1.2398700714, 0.027666091919 
61, 1.2402770519, 0.027751922607 
62, 1.2406797409, 0.027742385864 
63, 1.2411286831, 0.027761459351 
64, 1.2416088581, 0.027742385864 
65, 1.2421190739, 0.027780532837 
66, 1.2426323891, 0.027742385864 
67, 1.243162632, 0.027732849121 
68, 1.2437214851, 0.027751922607 
69, 1.2442936897, 0.027694702148 
70, 1.2449531555, 0.027713775635 
71, 1.2455208302, 0.027713775635 
72, 1.2460916042, 0.027732849121 
73, 1.2467563152, 0.027694702148 
74, 1.2473714352, 0.027675628662 
75, 1.247941494, 0.027675628662 
76, 1.2485020161, 0.027675628662 
77, 1.2490508556, 0.027694702148 
78, 1.2496685982, 0.027675628662 
79, 1.250333786, 0.027675628662 
80, 1.2509119511, 0.027637481689 
81, 1.2514209747, 0.027656555176 
82, 1.2519519329, 0.027618408203 
83, 1.2524437904, 0.027656555176 
84, 1.2528781891, 0.027589797974 
85, 1.2532734871, 0.027666091919 
86, 1.2536826134, 0.027637481689 
87, 1.2540724277, 0.027675628662 
88, 1.2544531822, 0.027694702148 
89, 1.2548487186, 0.027713775635 
90, 1.2552630901, 0.027694702148 
91, 1.2557194233, 0.027675628662 
92, 1.2562973499, 0.027780532837 
93, 1.2570900917, 0.027799606323 
94, 1.258143425, 0.027799606323 
95, 1.2596042156, 0.027780532837 
96, 1.2618589401, 0.027866363525 
97, 1.2652552128, 0.027980804443 
98, 1.2705600262, 0.027933120728 
99, 1.2790315151, 0.028057098389 
100, 1.2918889523, 0.027484893799 
