PW_MODEL_PW2281S_20_6 
Capacity=2.4082AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 1.5988821983, 0.45465151469 
1, 1.8181972504, 0.43911218643 
2, 1.8930356503, 0.42649269104 
3, 1.9410221577, 0.4135966301 
4, 1.9782124758, 0.4016606013 
5, 2.0095980167, 0.39134105047 
6, 2.0370101929, 0.38223028183 
7, 2.0617465973, 0.37375132243 
8, 2.0842196941, 0.36753495534 
9, 2.1045627594, 0.36290645599 
10, 2.1238219738, 0.35942554474 
11, 2.1418759823, 0.35757064819 
12, 2.1588394642, 0.35599390666 
13, 2.1750044823, 0.35452047984 
14, 2.1901919842, 0.35352230072 
15, 2.2044341564, 0.35238901774 
16, 2.2182412148, 0.35244464874 
17, 2.2309908867, 0.35166740417 
18, 2.2432935238, 0.35168170929 
19, 2.2551364899, 0.35160541534 
20, 2.2665374279, 0.35185178121 
21, 2.277554512, 0.35205046336 
22, 2.2880859375, 0.35223325094 
23, 2.2983551025, 0.35278479258 
24, 2.3079895973, 0.35296916962 
25, 2.3172652721, 0.35353819529 
26, 2.3261380196, 0.35399595896 
27, 2.3347809315, 0.35537560781 
28, 2.3430511951, 0.35622119904 
29, 2.350985527, 0.35637378693 
30, 2.3585908413, 0.35776933034 
31, 2.3659846783, 0.35827636719 
32, 2.3730814457, 0.35892009735 
33, 2.3799829483, 0.35985469818 
34, 2.3867599964, 0.36060651143 
35, 2.3932726383, 0.36112626394 
36, 2.3996245861, 0.36180496216 
37, 2.4058632851, 0.36244710286 
38, 2.4118282795, 0.36328951518 
39, 2.4176323414, 0.36351998647 
40, 2.4234640598, 0.364762942 
41, 2.4290933609, 0.36548296611 
42, 2.4345154762, 0.36555926005 
43, 2.4398460388, 0.36686579386 
44, 2.4451851845, 0.36667982737 
45, 2.4503912926, 0.36752382914 
46, 2.4555096626, 0.36749204 
47, 2.4605638981, 0.36835193634 
48, 2.46565485, 0.36897977193 
49, 2.4705963135, 0.36861260732 
50, 2.4755237103, 0.36888758341 
51, 2.4803822041, 0.36877950033 
52, 2.4853651524, 0.3687953949 
53, 2.4903781414, 0.36899725596 
54, 2.4952869415, 0.36813577016 
55, 2.5002584457, 0.36822636922 
56, 2.505266428, 0.36743164063 
57, 2.510279417, 0.36677201589 
58, 2.5153975487, 0.36566575368 
59, 2.5205347538, 0.36430199941 
60, 2.5257520676, 0.3635819753 
61, 2.5309560299, 0.36200364431 
62, 2.5364191532, 0.35977681478 
63, 2.541998148, 0.35751024882 
64, 2.5477075577, 0.35480817159 
65, 2.5537028313, 0.35134315491 
66, 2.5598840714, 0.34735361735 
67, 2.5663299561, 0.34267743429 
68, 2.5730381012, 0.33752441406 
69, 2.5801026821, 0.33051331838 
70, 2.5875310898, 0.32316843669 
71, 2.594871521, 0.31608263652 
72, 2.6024053097, 0.30933221181 
73, 2.6102616787, 0.3022480011 
74, 2.61830616, 0.29582182566 
75, 2.6268639565, 0.28953234355 
76, 2.6354930401, 0.28334140778 
77, 2.644418478, 0.27730941772 
78, 2.6539449692, 0.27211507161 
79, 2.6634135246, 0.26898701986 
80, 2.673268795, 0.26527245839 
81, 2.6835935116, 0.26160875956 
82, 2.6940228939, 0.25873661041 
83, 2.7048583031, 0.25588671366 
84, 2.7158563137, 0.25407950083 
85, 2.727006197, 0.25303204854 
86, 2.7382941246, 0.252922376 
87, 2.7499575615, 0.25402704875 
88, 2.7623662949, 0.25496482849 
89, 2.776569128, 0.24896462758 
90, 2.793438673, 0.24060885111 
91, 2.8128480911, 0.2322546641 
92, 2.8342561722, 0.22387981415 
93, 2.8573479652, 0.21677494049 
94, 2.8825213909, 0.21016915639 
95, 2.9107341766, 0.20437081655 
96, 2.9429855347, 0.19927342733 
97, 2.9814288616, 0.19656817118 
98, 3.0298843384, 0.19551753998 
99, 3.0958306789, 0.19936402639 
100, 3.2382698059, 0.25111834208 
