PW_MODEL_PW2281S_20_6 
Capacity=0.0243AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 2.2245597839, 374.48883057 
1, 2.3726997375, 315.78063965 
2, 2.4361457825, 286.50283813 
3, 2.4776420593, 269.54650879 
4, 2.5190544128, 247.52298991 
5, 2.5417518616, 241.12065633 
6, 2.566860199, 231.13250732 
7, 2.5814323425, 225.60755412 
8, 2.5960350037, 222.68931071 
9, 2.6101341248, 217.46953328 
10, 2.6192245483, 217.20250448 
11, 2.6312408447, 216.26790365 
12, 2.6396141052, 217.80014038 
13, 2.6484489441, 213.56582642 
14, 2.655380249, 211.76656087 
15, 2.6598014832, 213.20343018 
16, 2.6671066284, 210.62215169 
17, 2.6725120544, 210.48863729 
18, 2.6813583374, 202.9355367 
19, 2.6876487732, 188.93559774 
20, 2.6822662354, 195.75754801 
21, 2.6895713806, 193.97735596 
22, 2.6919212341, 193.74847412 
23, 2.6963844299, 192.80751546 
24, 2.7009887695, 188.98646037 
25, 2.7029762268, 191.36428833 
26, 2.7091293335, 189.78118896 
27, 2.7103233337, 186.06821696 
28, 2.7142982483, 187.8229777 
29, 2.7178649902, 181.77668254 
30, 2.7177085876, 183.55051676 
31, 2.7208328247, 178.40067546 
32, 2.7212371826, 176.5759786 
33, 2.7240257263, 178.71856689 
34, 2.7280235291, 175.13910929 
35, 2.7296791077, 170.70134481 
36, 2.7287979126, 173.82303874 
37, 2.7277603149, 166.74041748 
38, 2.727481842, 163.92389933 
39, 2.7191390991, 139.07750448 
40, 2.721282959, 140.02482096 
41, 2.7193565369, 136.33728027 
42, 2.7173080444, 130.32277425 
43, 2.7183647156, 126.0693868 
44, 2.7188224792, 122.6234436 
45, 2.7222290039, 119.84507243 
46, 2.7205581665, 120.50628662 
47, 2.7212791443, 115.89686076 
48, 2.7243652344, 112.99133301 
49, 2.721912384, 106.06129964 
50, 2.7196159363, 106.90689087 
51, 2.7205886841, 102.78701782 
52, 2.720287323, 98.64171346 
53, 2.7178115845, 97.586313883 
54, 2.7188720703, 93.13583374 
55, 2.718132019, 90.077718099 
56, 2.7150154114, 87.820688883 
57, 2.7157707214, 82.340240479 
58, 2.7128791809, 79.383850098 
59, 2.7103385925, 77.215830485 
60, 2.7102966309, 73.34391276 
61, 2.7111053467, 71.042378743 
62, 2.7093200684, 70.196787516 
63, 2.7126197815, 67.920684814 
64, 2.7106781006, 66.382090251 
65, 2.709941864, 64.652760824 
66, 2.7110710144, 63.025156657 
67, 2.7122802734, 60.583750407 
68, 2.7070655823, 60.240427653 
69, 2.7095069885, 58.256785075 
70, 2.7123146057, 56.209564209 
71, 2.7097930908, 55.192311605 
72, 2.7070388794, 54.658253988 
73, 2.7087593079, 53.18959554 
74, 2.7095375061, 51.99432373 
75, 2.7081451416, 50.671895345 
76, 2.7061004639, 49.858093262 
77, 2.7050971985, 48.669179281 
78, 2.70495224, 47.486623128 
79, 2.7058906555, 46.030680339 
80, 2.6984825134, 46.068827311 
81, 2.6981391907, 45.000712077 
82, 2.6974067688, 44.015248617 
83, 2.6984519958, 43.176015218 
84, 2.6963729858, 42.737325033 
85, 2.6938819885, 42.75004069 
86, 2.6946372986, 42.368570964 
87, 2.6956825256, 42.247772217 
88, 2.6973266602, 42.235056559 
89, 2.7000923157, 42.266845703 
90, 2.7036514282, 42.241414388 
91, 2.7072601318, 42.311350505 
92, 2.710899353, 42.476654053 
93, 2.7177467346, 41.980743408 
94, 2.7234115601, 41.637420654 
95, 2.7312240601, 40.944417318 
96, 2.7402191162, 40.124257406 
97, 2.7517776489, 39.081573486 
98, 2.7690887451, 37.460327148 
99, 2.8019447327, 32.831827799 
100, 3.2528839111, 39.58384196 
