SourceMeter Model:,2450
SourceMeter S/N:,01419952
SourceMeter Firmware:,1.6.3d

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,3.2835810184
TEST_PARAM.vcutoff:,1.9

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,0.001
TEST_PARAM.max_discharge_current:,0.001

TEST_PARAM.measure_interval:,60

TEST_PARAM.discharge_start_time:,10/24/17 11:24:00
TEST_PARAM.discharge_stop_time:,11/02/17 07:52:52

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,1,0.03480638,3.2822227478,3.2690582275,13.164520264
BATT_MODEL_RAW:,2,60.03608596,3.2416992188,3.2277488708,13.9503479
BATT_MODEL_RAW:,3,120.04180612,3.2236022949,3.2091598511,14.442443848
BATT_MODEL_RAW:,4,180.04686634,3.2081336975,3.19323349,14.90020752
BATT_MODEL_RAW:,5,240.05276842,3.194229126,3.1789360046,15.293121338
BATT_MODEL_RAW:,6,300.0570605,3.1816177368,3.1660041809,15.613555908
BATT_MODEL_RAW:,7,360.06239162,3.1701393127,3.1542816162,15.857696533
BATT_MODEL_RAW:,8,420.06719358,3.1597137451,3.1436767578,16.036987305
BATT_MODEL_RAW:,9,480.07167842,3.150188446,3.1340103149,16.178131104
BATT_MODEL_RAW:,10,540.07748828,3.1414756775,3.1252059937,16.269683838
BATT_MODEL_RAW:,11,600.07824598,3.1334915161,3.1171760559,16.315460205
BATT_MODEL_RAW:,12,660.08337054,3.1261329651,3.1097946167,16.338348389
BATT_MODEL_RAW:,13,720.0854201,3.1193466187,3.103012085,16.334533691
BATT_MODEL_RAW:,14,780.09146372,3.1130638123,3.096736908,16.326904297
BATT_MODEL_RAW:,15,840.09703524,3.1071853638,3.0908813477,16.304016113
BATT_MODEL_RAW:,16,900.09790396,3.1017189026,3.0854492188,16.269683838
BATT_MODEL_RAW:,17,960.10262696,3.0965995789,3.080368042,16.231536865
BATT_MODEL_RAW:,18,1020.1079468,3.0917739868,3.075592041,16.181945801
BATT_MODEL_RAW:,19,1080.1131664,3.0872344971,3.0711097717,16.124725342
BATT_MODEL_RAW:,20,1140.118713,3.082950592,3.0668907166,16.059875488
BATT_MODEL_RAW:,21,1200.1237201,3.0789031982,3.0628929138,16.010284424
BATT_MODEL_RAW:,22,1260.1296868,3.075050354,3.0591049194,15.94543457
BATT_MODEL_RAW:,23,1320.1303897,3.0713768005,3.0554771423,15.899658203
BATT_MODEL_RAW:,24,1380.1359223,3.0678672791,3.0520133972,15.853881836
BATT_MODEL_RAW:,25,1440.1411759,3.064491272,3.0486946106,15.796661377
BATT_MODEL_RAW:,26,1500.1465313,3.0612602234,3.0455207825,15.739440918
BATT_MODEL_RAW:,27,1560.152561,3.0581550598,3.0424499512,15.705108643
BATT_MODEL_RAW:,28,1620.1575757,3.0551452637,3.0394973755,15.647888184
BATT_MODEL_RAW:,29,1680.1577221,3.0522613525,3.0366439819,15.617370605
BATT_MODEL_RAW:,30,1740.158193,3.04945755,3.0338859558,15.571594238
BATT_MODEL_RAW:,31,1800.1597591,3.0467376709,3.031211853,15.525817871
BATT_MODEL_RAW:,32,1860.1599311,3.0441055298,3.0286102295,15.495300293
BATT_MODEL_RAW:,33,1920.1607047,3.0415382385,3.0260887146,15.449523926
BATT_MODEL_RAW:,34,1980.1609366,3.0390434265,3.0236244202,15.419006348
BATT_MODEL_RAW:,35,2040.1614988,3.0366210938,3.0212211609,15.399932861
