PW_MODEL_PW2281S_20_6 
Capacity=0.1563AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 2.517250061, 339.11387126 
1, 2.5225067139, 317.43748983 
2, 2.5286521912, 293.54222616 
3, 2.5360450745, 263.86260986 
4, 2.5421142578, 239.5846049 
5, 2.5469474792, 217.42884318 
6, 2.5512924194, 194.73393758 
7, 2.555431366, 171.9678243 
8, 2.5594215393, 152.48362223 
9, 2.5626296997, 135.34037272 
10, 2.5656585693, 122.40982056 
11, 2.570892334, 107.12051392 
12, 2.5758934021, 94.609578451 
13, 2.5811347961, 83.918253581 
14, 2.5863380432, 75.055440267 
15, 2.5920295715, 67.629496257 
16, 2.5979347229, 61.26276652 
17, 2.6038284302, 55.653889974 
18, 2.6081199646, 51.554361979 
19, 2.6132736206, 47.651926676 
20, 2.6192550659, 44.043223063 
21, 2.6245307922, 41.033426921 
22, 2.6296348572, 38.305918376 
23, 2.6339683533, 36.352793376 
24, 2.6392402649, 34.394582113 
25, 2.6439933777, 32.820383708 
26, 2.6487731934, 31.508127848 
27, 2.6530151367, 29.933929443 
28, 2.6565437317, 28.765360514 
29, 2.6611289978, 27.428944906 
30, 2.6664810181, 26.456197103 
31, 2.6702728271, 24.555206299 
32, 2.6740684509, 24.02750651 
33, 2.677898407, 23.264567057 
34, 2.6814880371, 22.824605306 
35, 2.6848716736, 22.450764974 
36, 2.688041687, 22.136688232 
37, 2.6910438538, 21.859486898 
38, 2.6939315796, 21.583557129 
39, 2.6969070435, 21.366119385 
40, 2.7004013062, 21.010080973 
41, 2.7034797668, 20.771026611 
42, 2.706489563, 20.515441895 
43, 2.7096061707, 20.203908285 
44, 2.7124290466, 19.98647054 
45, 2.7151260376, 19.780476888 
46, 2.717830658, 19.605000814 
47, 2.7205696106, 19.409179688 
48, 2.7231140137, 19.269307454 
49, 2.7266426086, 19.055684408 
50, 2.7293205261, 18.77339681 
51, 2.7309646606, 18.624623617 
52, 2.7309532166, 18.800099691 
53, 2.7328834534, 18.591562907 
54, 2.7341461182, 18.524169922 
55, 2.7346038818, 18.581390381 
56, 2.7353248596, 18.59664917 
57, 2.7369918823, 18.472035726 
58, 2.7393035889, 18.30291748 
59, 2.7417526245, 18.135070801 
60, 2.7445030212, 17.945607503 
61, 2.7472839355, 17.749786377 
62, 2.7499351501, 17.528533936 
63, 2.751953125, 17.448425293 
64, 2.7551193237, 17.236073812 
65, 2.7582740784, 17.024993896 
66, 2.7613143921, 16.810099284 
67, 2.763168335, 16.654968262 
68, 2.7652359009, 16.565958659 
69, 2.7675476074, 16.438802083 
70, 2.7703552246, 16.226450602 
71, 2.7715454102, 16.068776449 
72, 2.7735671997, 15.947977702 
73, 2.7760124207, 15.783945719 
74, 2.7783050537, 15.588124593 
75, 2.7796821594, 15.506744385 
76, 2.7807426453, 15.361785889 
77, 2.782661438, 15.205383301 
78, 2.7848091125, 14.976501465 
79, 2.7865257263, 14.757792155 
80, 2.7884941101, 14.528910319 
81, 2.7905273438, 14.28604126 
82, 2.7922439575, 14.040629069 
83, 2.7941169739, 13.80666097 
84, 2.7966690063, 13.586680094 
85, 2.799282074, 13.319651286 
86, 2.8021278381, 13.019561768 
87, 2.8049964905, 12.705485026 
88, 2.8074073792, 12.432098389 
89, 2.8095626831, 12.177785238 
90, 2.8107948303, 11.929829915 
91, 2.8110809326, 11.618296305 
92, 2.8085975647, 11.399586995 
93, 2.8046226501, 11.168162028 
94, 2.8006973267, 10.945638021 
95, 2.7974014282, 10.79305013 
96, 2.7948646545, 10.772705078 
97, 2.7988357544, 10.746002197 
98, 2.820640564, 10.718027751 
99, 2.8841743469, 9.94237264 
100, 3.2751121521, 13.693491618 
