PW_MODEL_PW2281S_20_6 
Capacity=0.0511AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 2.301612854, 267.36195882 
1, 2.3033599854, 258.50296021 
2, 2.3093948364, 255.47154744 
3, 2.314666748, 247.06141154 
4, 2.3181266785, 238.86489868 
5, 2.3254623413, 232.24639893 
6, 2.3359909058, 216.07589722 
7, 2.3439064026, 217.96798706 
8, 2.3498153687, 211.23758952 
9, 2.3558349609, 204.97131348 
10, 2.3600006104, 189.94267782 
11, 2.3626213074, 189.17592367 
12, 2.3686332703, 188.06330363 
13, 2.3685874939, 178.01539103 
14, 2.3828468323, 174.20832316 
15, 2.3880844116, 165.91771444 
16, 2.3907012939, 156.46870931 
17, 2.3917617798, 147.90980021 
18, 2.4046134949, 146.14359538 
19, 2.4060096741, 130.52113851 
20, 2.4083366394, 126.60853068 
21, 2.4182815552, 122.78620402 
22, 2.4243736267, 117.0018514 
23, 2.4274711609, 109.53776042 
24, 2.4309844971, 97.703297933 
25, 2.4376716614, 91.143290202 
26, 2.4361991882, 85.419972738 
27, 2.4374885559, 79.016367594 
28, 2.4445266724, 75.181325277 
29, 2.4832382202, 62.450408936 
30, 2.5277900696, 51.322937012 
31, 2.5566444397, 45.333862305 
32, 2.5770111084, 42.109171549 
33, 2.5908203125, 39.923350016 
34, 2.5945510864, 38.829803467 
35, 2.5493011475, 49.977620443 
36, 2.5670547485, 46.342213949 
37, 2.5845451355, 43.066660563 
38, 2.5906867981, 41.281382243 
39, 2.6000137329, 39.876302083 
40, 2.6072387695, 38.870493571 
41, 2.6161727905, 37.757873535 
42, 2.6253623962, 36.685943604 
43, 2.6336021423, 35.755157471 
44, 2.6409988403, 34.923553467 
45, 2.6478919983, 34.285227458 
46, 2.6540603638, 33.728281657 
47, 2.6594696045, 33.274332682 
48, 2.6649513245, 32.814025879 
49, 2.6698303223, 32.449086507 
50, 2.6745033264, 32.096862793 
51, 2.6790275574, 31.759897868 
52, 2.6833190918, 31.466166178 
53, 2.6872367859, 31.094868978 
54, 2.691696167, 30.714670817 
55, 2.6944313049, 30.67779541 
56, 2.698009491, 30.452728271 
57, 2.7015533447, 30.226389567 
58, 2.7051239014, 29.958089193 
59, 2.7085952759, 29.654184977 
60, 2.7119750977, 29.327392578 
61, 2.7148284912, 29.043833415 
62, 2.7170028687, 28.878529867 
63, 2.719417572, 28.704325358 
64, 2.7212638855, 28.577168783 
65, 2.723361969, 28.355916341 
66, 2.7253799438, 28.240203857 
67, 2.7274513245, 28.045654297 
68, 2.7297515869, 27.768452962 
69, 2.7311248779, 27.6222229 
70, 2.7328033447, 27.528127035 
71, 2.7341804504, 27.216593424 
72, 2.7360420227, 27.02331543 
73, 2.7376785278, 26.889801025 
74, 2.7390899658, 26.654561361 
75, 2.7397346497, 26.737213135 
76, 2.7406997681, 26.681264242 
77, 2.7419013977, 26.579538981 
78, 2.7431602478, 26.489257813 
79, 2.744228363, 26.42695109 
80, 2.7454833984, 26.411692301 
81, 2.7473640442, 26.306152344 
82, 2.7492027283, 26.14847819 
83, 2.7509117126, 26.042938232 
84, 2.753074646, 25.873819987 
85, 2.7545814514, 25.712331136 
86, 2.7552833557, 25.780995687 
87, 2.7565231323, 25.71105957 
88, 2.757396698, 25.808970133 
89, 2.7590522766, 25.83694458 
90, 2.7606964111, 25.914510091 
91, 2.762512207, 26.093800863 
92, 2.7651367188, 26.295979818 
93, 2.7682189941, 26.649475098 
94, 2.772315979, 27.149200439 
95, 2.7775764465, 27.988433838 
96, 2.7860870361, 28.537750244 
97, 2.7994880676, 25.997161865 
98, 2.8234596252, 18.230438232 
99, 2.8781471252, 14.709472656 
100, 3.2659225464, 18.01554362 
