TEST_PARAM.comment:,NO COMMENT

SourceMeter Model:,2450
SourceMeter S/N:,04018435
SourceMeter Firmware:,1.6.4c

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,3.2738034725
TEST_PARAM.vcutoff:,1.5

TEST_PARAM.discharge_type:,LIST
TEST_PARAM.discharge_curr_list:,Index,Current (A),Duration (s)
,1,0.003,3600
,2,0.1,0.01
TEST_PARAM.discharge_curr_list.average_curr:,,0.0030002694437
TEST_PARAM.discharge_curr_list.duration:,,,3600.01
TEST_PARAM.discharge_curr_list.max_dur_index:,1
TEST_PARAM.max_discharge_current:,,0.1

TEST_PARAM.measure_interval:,2

TEST_PARAM.discharge_start_time:,03/05/18 10:52:23
TEST_PARAM.discharge_stop_time:,03/06/18 03:54:22

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,1,0.0354123,3.2659225464,3.2118759155,18.01554362
BATT_MODEL_RAW:,2,2.0703572,3.2319641113,3.176738739,18.408457438
BATT_MODEL_RAW:,3,4.0704696,3.2160186768,3.1566772461,19.780476888
BATT_MODEL_RAW:,4,6.07058538,3.2042007446,3.1481132507,18.695831299
BATT_MODEL_RAW:,5,8.07069706,3.1945266724,3.1384239197,18.700917562
BATT_MODEL_RAW:,6,10.07081354,3.1862373352,3.1300888062,18.716176351
BATT_MODEL_RAW:,7,12.07094124,3.1788902283,3.1227073669,18.727620443
BATT_MODEL_RAW:,8,14.0710543,3.1722869873,3.1160621643,18.741607666
BATT_MODEL_RAW:,9,16.07117074,3.1662597656,3.1099739075,18.761952718
BATT_MODEL_RAW:,10,18.07128138,3.1606903076,3.1043434143,18.78229777
BATT_MODEL_RAW:,11,20.0713901,3.1555175781,3.0991020203,18.805185954
BATT_MODEL_RAW:,12,22.07150662,3.1506614685,3.0941810608,18.826802572
BATT_MODEL_RAW:,13,24.07162294,3.1461029053,3.0895423889,18.853505452
BATT_MODEL_RAW:,14,26.0717416,3.1417770386,3.0851516724,18.87512207
BATT_MODEL_RAW:,15,28.07185816,3.1376838684,3.0809822083,18.900553385
BATT_MODEL_RAW:,16,30.07197062,3.133769989,3.077003479,18.922170003
BATT_MODEL_RAW:,17,32.07208766,3.1300315857,3.0731964111,18.945058187
BATT_MODEL_RAW:,18,34.07220376,3.1264533997,3.0695343018,18.973032633
BATT_MODEL_RAW:,19,36.07231754,3.1230163574,3.0660247803,18.997192383
BATT_MODEL_RAW:,20,38.07243726,3.1196937561,3.0626296997,19.021352132
BATT_MODEL_RAW:,21,40.07255084,3.1165122986,3.0593757629,19.045511882
BATT_MODEL_RAW:,22,42.07266812,3.1134338379,3.0562286377,19.068400065
BATT_MODEL_RAW:,23,44.07278674,3.1104469299,3.0531730652,19.091288249
BATT_MODEL_RAW:,24,46.07289614,3.1075401306,3.0502166748,19.107818604
BATT_MODEL_RAW:,25,48.07301384,3.104724884,3.0473403931,19.128163656
BATT_MODEL_RAW:,26,50.0731266,3.1020011902,3.0445632935,19.145965576
BATT_MODEL_RAW:,27,52.07324692,3.0993461609,3.0418434143,19.167582194
BATT_MODEL_RAW:,28,54.07337258,3.0967483521,3.0392074585,19.180297852
BATT_MODEL_RAW:,29,56.0734838,3.0942344666,3.0366401672,19.198099772
BATT_MODEL_RAW:,30,58.07360184,3.091758728,3.0341300964,19.209543864
BATT_MODEL_RAW:,31,60.07371378,3.0893630981,3.0316848755,19.226074219
BATT_MODEL_RAW:,32,62.07382968,3.0870056152,3.0292892456,19.238789876
BATT_MODEL_RAW:,33,64.07395124,3.0847053528,3.0269508362,19.251505534
BATT_MODEL_RAW:,34,66.0740653,3.0824623108,3.0246582031,19.268035889
BATT_MODEL_RAW:,35,68.07417682,3.0802459717,3.0224189758,19.275665283
BATT_MODEL_RAW:,36,70.0742844,3.0780754089,3.0202178955,19.285837809
BATT_MODEL_RAW:,37,72.07440222,3.0759506226,3.0180625916,19.296010335
BATT_MODEL_RAW:,38,74.07452012,3.0738563538,3.0159416199,19.304911296
BATT_MODEL_RAW:,39,76.07463072,3.0717964172,3.0138702393,19.308725993
BATT_MODEL_RAW:,40,78.0747496,3.0697860718,3.0118331909,19.317626953
BATT_MODEL_RAW:,41,80.07486564,3.0678024292,3.0098266602,19.325256348
BATT_MODEL_RAW:,42,82.07498204,3.0658493042,3.0078620911,19.329071045
BATT_MODEL_RAW:,43,84.07510068,3.0639343262,3.0059242249,19.336700439
BATT_MODEL_RAW:,44,86.07521302,3.062046051,3.0040283203,19.339243571
BATT_MODEL_RAW:,45,88.07532862,3.0601882935,3.0021591187,19.343058268
BATT_MODEL_RAW:,46,90.07544612,3.0583496094,3.0002326965,19.372304281
BATT_MODEL_RAW:,47,92.07555702,3.0565414429,2.9984169006,19.374847412
BATT_MODEL_RAW:,48,94.07568046,3.0547523499,2.9966239929,19.376118978
BATT_MODEL_RAW:,49,96.07579398,3.0529975891,2.9948730469,19.374847412
BATT_MODEL_RAW:,50,98.0759116,3.0512695313,2.9931373596,19.377390544
BATT_MODEL_RAW:,51,100.07602366,3.0495529175,2.9914283752,19.374847412
BATT_MODEL_RAW:,52,102.0761372,3.0478591919,2.9897460938,19.371032715
BATT_MODEL_RAW:,53,104.0762536,3.0461959839,2.9880867004,19.369761149
BATT_MODEL_RAW:,54,106.07637582,3.0445518494,2.98645401,19.365946452
BATT_MODEL_RAW:,55,108.07648972,3.0429496765,2.9848556519,19.364674886
