PW_MODEL_PW2281S_20_6 
Capacity=0.5209AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 2.2578964233, 704.37895946 
1, 2.4536590576, 435.25695801 
2, 2.6297492981, 354.32668833 
3, 2.7017478943, 285.93601325 
4, 2.7365036011, 237.96864045 
5, 2.7553749084, 209.04541016 
6, 2.774143219, 172.37541003 
7, 2.7874450684, 141.98498848 
8, 2.7956771851, 125.07316394 
9, 2.8051681519, 106.15617801 
10, 2.8137245178, 90.633294521 
11, 2.8215904236, 79.169640174 
12, 2.8274688721, 71.031619341 
13, 2.8344955444, 62.228471805 
14, 2.8409347534, 55.264203976 
15, 2.8481636047, 49.542158078 
16, 2.8550415039, 44.406988682 
17, 2.8611755371, 40.17169659 
18, 2.8671989441, 37.149282602 
19, 2.8719100952, 34.713745117 
20, 2.8775100708, 32.473833133 
21, 2.8809089661, 31.466361804 
22, 2.8856277466, 29.099293244 
23, 2.8888282776, 28.228759766 
24, 2.8920898438, 26.116004357 
25, 2.8939399719, 25.900816306 
26, 2.8970603943, 24.551000351 
27, 2.8995399475, 23.954342573 
28, 2.9027862549, 23.064246544 
29, 2.9065170288, 21.460117438 
30, 2.9077987671, 20.550458859 
31, 2.9107055664, 19.572331355 
32, 2.9115409851, 19.005017403 
33, 2.9137191772, 18.271421775 
34, 2.915725708, 17.821483123 
35, 2.9173240662, 17.05854367 
36, 2.9200973511, 16.080416166 
37, 2.9191207886, 16.501010993 
38, 2.9197769165, 16.412979517 
39, 2.9206085205, 16.207572741 
40, 2.9223976135, 15.689165164 
41, 2.9237480164, 15.141413762 
42, 2.926399231, 13.781816531 
43, 2.9258346558, 13.987223307 
44, 2.927066803, 12.666751177 
45, 2.9281349182, 12.412438026 
46, 2.928478241, 11.786436423 
47, 2.9295654297, 11.708186223 
48, 2.929473877, 11.248466296 
49, 2.9325523376, 10.632245969 
50, 2.9298973083, 10.671371069 
51, 2.9312667847, 10.201869867 
52, 2.9308547974, 10.074713291 
53, 2.9321212769, 9.3508989383 
54, 2.9317131042, 9.5073993389 
55, 2.9330711365, 8.8324913612 
56, 2.9348258972, 8.1086770082 
57, 2.9347076416, 8.2651774089 
58, 2.9367408752, 8.1184582833 
59, 2.9372024536, 7.8641451322 
60, 2.9386978149, 7.6391758063 
61, 2.9381332397, 7.6685196314 
62, 2.9388008118, 7.3946439303 
63, 2.937374115, 7.4826754056 
64, 2.9371376038, 7.4044252053 
65, 2.9373855591, 7.3457375551 
66, 2.9373703003, 7.33595628 
67, 2.9402236938, 7.1501120543 
68, 2.9381828308, 7.2381435296 
69, 2.9387931824, 7.071861854 
70, 2.9371299744, 7.1403307792 
71, 2.938205719, 7.0327367538 
72, 2.9367179871, 7.1305495042 
73, 2.9361381531, 6.9838303786 
74, 2.9362106323, 7.0131742037 
75, 2.935836792, 6.9153614533 
76, 2.9348564148, 6.9838303786 
77, 2.9341087341, 6.9936116536 
78, 2.9333496094, 6.9936116536 
79, 2.9327430725, 7.0425180288 
80, 2.934513092, 6.9055801783 
81, 2.9324531555, 7.0620805789 
82, 2.9336433411, 6.9447052784 
83, 2.9315910339, 7.1012056791 
84, 2.9315719604, 7.0131742037 
85, 2.9313583374, 7.1598933293 
86, 2.9290962219, 7.31639373 
87, 2.931350708, 7.2870499048 
88, 2.9279899597, 7.580488156 
89, 2.9281959534, 7.6489570813 
90, 2.9270744324, 7.7663323818 
91, 2.9264144897, 7.9228327825 
92, 2.9266815186, 8.059770633 
93, 2.9272193909, 8.059770633 
94, 2.9259338379, 8.1869272085 
95, 2.9250450134, 8.049989358 
96, 2.9250717163, 7.9521766076 
97, 2.9232940674, 7.6783009065 
98, 2.9266433716, 7.2283622546 
99, 2.9420547485, 7.1696746044 
100, 3.2256622314, 7.6783009065 
