TEST_PARAM.comment:,cr2450

SourceMeter Model:,2450
SourceMeter S/N:,01419964
SourceMeter Firmware:,1.7.0c

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,3.2262685299
TEST_PARAM.vcutoff:,2

TEST_PARAM.discharge_type:,LIST
TEST_PARAM.discharge_curr_list:,Index,Current (A),Duration (s)
,1,0.00039,7200
,2,0.009,2
TEST_PARAM.discharge_curr_list.average_curr:,,0.0003923910025
TEST_PARAM.discharge_curr_list.duration:,,,7202
TEST_PARAM.discharge_curr_list.max_dur_index:,1
TEST_PARAM.max_discharge_current:,,0.009

TEST_PARAM.measure_interval:,300

TEST_PARAM.discharge_start_time:,11/04/19 17:21:28
TEST_PARAM.discharge_stop_time:,12/30/19 00:57:38

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,1,0.03540868,3.2256622314,3.2226676941,7.6783009065
BATT_MODEL_RAW:,2,300.09355562,3.2083740234,3.2053565979,7.7369885567
BATT_MODEL_RAW:,3,600.11671918,3.199596405,3.196598053,7.6880821815
BATT_MODEL_RAW:,4,900.139938,3.1918106079,3.1888237,7.6587383564
BATT_MODEL_RAW:,5,1200.1631287,3.1846389771,3.1816673279,7.6196132562
BATT_MODEL_RAW:,6,1500.1863367,3.1779670715,3.1750106812,7.580488156
BATT_MODEL_RAW:,7,1800.2095409,3.1716957092,3.1687469482,7.560925606
BATT_MODEL_RAW:,8,2100.2327345,3.1657295227,3.1627883911,7.5413630559
BATT_MODEL_RAW:,9,2400.255936,3.1601066589,3.1571846008,7.4924566807
BATT_MODEL_RAW:,10,2700.2791036,3.1547584534,3.1518440247,7.4728941306
BATT_MODEL_RAW:,11,3000.3023009,3.149684906,3.1467666626,7.4826754056
BATT_MODEL_RAW:,12,3300.3254934,3.1447982788,3.1419029236,7.4239877554
BATT_MODEL_RAW:,13,3600.3487693,3.1401252747,3.1372413635,7.3946439303
BATT_MODEL_RAW:,14,3900.3721622,3.1356506348,3.1327705383,7.3848626552
BATT_MODEL_RAW:,15,4200.3955687,3.1313476563,3.1284675598,7.3848626552
BATT_MODEL_RAW:,16,4500.4189647,3.1271896362,3.1243286133,7.33595628
BATT_MODEL_RAW:,17,4800.442375,3.1231803894,3.1203231812,7.326175005
BATT_MODEL_RAW:,18,5100.4657597,3.1193161011,3.1164550781,7.33595628
BATT_MODEL_RAW:,19,5400.4891435,3.1155700684,3.1127166748,7.31639373
