PW_MODEL_PW2281S_20_6 
Capacity=2.9511AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 2.4320793152, 1.2954711914 
1, 2.5124397278, 1.3571166992 
2, 2.5853614807, 1.4137268066 
3, 2.6473731995, 1.4671325684 
4, 2.7032699585, 1.5110778809 
5, 2.7566604614, 1.5426635742 
6, 2.8139533997, 1.5657043457 
7, 2.89220047, 1.573638916 
8, 2.9722251892, 1.5686035156 
9, 3.0467720032, 1.5632629395 
10, 3.1128883362, 1.5240478516 
11, 3.1609725952, 1.4912414551 
12, 3.2021942139, 1.4643859863 
13, 3.2417030334, 1.3995361328 
14, 3.2757034302, 1.315612793 
15, 3.3054580688, 1.2440490723 
16, 3.3356246948, 1.2092590332 
17, 3.366973877, 1.2100219727 
18, 3.39818573, 1.2246704102 
19, 3.428604126, 1.2408447266 
20, 3.4584312439, 1.2528991699 
21, 3.487991333, 1.2545776367 
22, 3.5166053772, 1.2510681152 
23, 3.543170929, 1.2359619141 
24, 3.5665855408, 1.2425231934 
25, 3.5879745483, 1.236114502 
26, 3.6071968079, 1.2437438965 
27, 3.6260757446, 1.2403869629 
28, 3.6417884827, 1.2503051758 
29, 3.6581039429, 1.263885498 
30, 3.6751747131, 1.2561035156 
31, 3.6887168884, 1.2609863281 
32, 3.7018661499, 1.279296875 
33, 3.7172279358, 1.2760925293 
34, 3.7319946289, 1.2719726563 
35, 3.7463626862, 1.2618255615 
36, 3.7583885193, 1.2599182129 
37, 3.7693576813, 1.2574005127 
38, 3.7789611816, 1.2577819824 
39, 3.788274765, 1.2600708008 
40, 3.7981681824, 1.2547302246 
41, 3.8089141846, 1.2384033203 
42, 3.8196697235, 1.2187957764 
43, 3.8304367065, 1.184387207 
44, 3.8387069702, 1.1669921875 
45, 3.8481559753, 1.1278533936 
46, 3.8554344177, 1.10206604 
47, 3.8636779785, 1.0624694824 
48, 3.8698539734, 1.0390472412 
49, 3.8780841827, 1.0021972656 
50, 3.8856582642, 0.9561920166 
51, 3.8908348083, 0.92880249023 
52, 3.8984260559, 0.89721679688 
53, 3.9069519043, 0.85990905762 
54, 3.9153308868, 0.82817077637 
55, 3.9230690002, 0.79315185547 
56, 3.9287624359, 0.76766967773 
57, 3.9334983826, 0.74775695801 
58, 3.9380512238, 0.72998046875 
59, 3.9431018829, 0.71258544922 
60, 3.9489192963, 0.69381713867 
61, 3.9559841156, 0.67581176758 
62, 3.9637107849, 0.65528869629 
63, 3.9717292786, 0.6364440918 
64, 3.978477478, 0.6209564209 
65, 3.9868755341, 0.60424804688 
66, 3.9937610626, 0.59104919434 
67, 4.0020942688, 0.57823181152 
68, 4.0094585419, 0.56411743164 
69, 4.0166835785, 0.55389404297 
70, 4.0245857239, 0.54183959961 
71, 4.0314311981, 0.53276062012 
72, 4.0398674011, 0.52352905273 
73, 4.0499744415, 0.51048278809 
74, 4.0606575012, 0.49865722656 
75, 4.0712718964, 0.4891204834 
76, 4.0827560425, 0.48042297363 
77, 4.0942955017, 0.47477722168 
78, 4.1054782867, 0.46859741211 
79, 4.1178588867, 0.4647064209 
80, 4.131685257, 0.45852661133 
81, 4.1460762024, 0.45036315918 
82, 4.1588001251, 0.44456481934 
83, 4.1729927063, 0.43930053711 
84, 4.1870536804, 0.43518066406 
85, 4.2019634247, 0.42823791504 
86, 4.2164840698, 0.42572021484 
87, 4.2316818237, 0.42129516602 
88, 4.2465457916, 0.42182922363 
89, 4.2616577148, 0.4216003418 
90, 4.2770271301, 0.42739868164 
91, 4.2963008881, 0.42533874512 
92, 4.3204574585, 0.41381835938 
93, 4.3479671478, 0.40351867676 
94, 4.3800888062, 0.39428710938 
95, 4.4170665741, 0.3833770752 
96, 4.4602890015, 0.37437438965 
97, 4.5115070343, 0.36674499512 
98, 4.5763511658, 0.36293029785 
99, 4.6690235138, 0.36842346191 
100, 4.849697113, 0.47859191895 
