SourceMeter Model:,2461
SourceMeter S/N:,04090170
SourceMeter Firmware:,1.6.3d

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,4.8522453308
TEST_PARAM.vcutoff:,2.4

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,0.025
TEST_PARAM.max_discharge_current:,0.025

TEST_PARAM.measure_interval:,30

TEST_PARAM.discharge_start_time:,06/30/17 14:59:43
TEST_PARAM.discharge_stop_time:,07/05/17 13:02:25

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,1,0.03473312,4.849697113,4.8377323151,0.47859191895
BATT_MODEL_RAW:,2,30.12049144,4.8395729065,4.8283367157,0.44944763184
BATT_MODEL_RAW:,3,60.2062913,4.8358440399,4.8247127533,0.44525146484
BATT_MODEL_RAW:,4,90.29211156,4.8328266144,4.8217487335,0.44311523438
BATT_MODEL_RAW:,5,120.37789068,4.8301372528,4.819103241,0.44136047363
BATT_MODEL_RAW:,6,150.46377206,4.8276748657,4.8166770935,0.43991088867
BATT_MODEL_RAW:,7,180.54957034,4.8253593445,4.8143863678,0.43891906738
BATT_MODEL_RAW:,8,210.63544252,4.8231487274,4.8121910095,0.43830871582
BATT_MODEL_RAW:,9,240.72119886,4.8210258484,4.8100986481,0.4370880127
BATT_MODEL_RAW:,10,270.8070553,4.8189888,4.80809021,0.43594360352
BATT_MODEL_RAW:,11,300.89281614,4.8170204163,4.8061466217,0.43495178223
BATT_MODEL_RAW:,12,330.97864048,4.8150844574,4.8042392731,0.43380737305
BATT_MODEL_RAW:,13,361.06446978,4.8132095337,4.8024044037,0.4322052002
BATT_MODEL_RAW:,14,391.1502616,4.8113765717,4.8005981445,0.43113708496
BATT_MODEL_RAW:,15,421.23605478,4.8095932007,4.7988471985,0.42984008789
BATT_MODEL_RAW:,16,451.3219135,4.807844162,4.7971248627,0.42877197266
BATT_MODEL_RAW:,17,481.40775124,4.8061256409,4.7954368591,0.42755126953
BATT_MODEL_RAW:,18,511.49361366,4.8044452667,4.7937870026,0.42633056641
BATT_MODEL_RAW:,19,541.57954674,4.8027839661,4.7921619415,0.42488098145
BATT_MODEL_RAW:,20,571.66548322,4.8011512756,4.7905578613,0.42373657227
BATT_MODEL_RAW:,21,601.751413,4.7995529175,4.7889976501,0.42221069336
BATT_MODEL_RAW:,22,631.83736594,4.7979698181,4.7874412537,0.42114257813
BATT_MODEL_RAW:,23,661.9233345,4.796421051,4.7859210968,0.41999816895
BATT_MODEL_RAW:,24,692.0093209,4.794878006,4.7844142914,0.41854858398
BATT_MODEL_RAW:,25,722.09525558,4.7933578491,4.7829284668,0.41717529297
BATT_MODEL_RAW:,26,752.18127584,4.7918605804,4.7814540863,0.41625976563
BATT_MODEL_RAW:,27,782.26727062,4.7903862,4.7800121307,0.41496276855
BATT_MODEL_RAW:,28,812.35324054,4.7889137268,4.7785720825,0.41366577148
BATT_MODEL_RAW:,29,842.43922568,4.7874603271,4.7771434784,0.4126739502
BATT_MODEL_RAW:,30,872.52521646,4.7860279083,4.7757472992,0.41122436523
BATT_MODEL_RAW:,31,902.61121344,4.7846031189,4.774356842,0.40985107422
BATT_MODEL_RAW:,32,932.6972198,4.7831935883,4.7729740143,0.40878295898
BATT_MODEL_RAW:,33,962.7832235,4.7818050385,4.7716121674,0.40771484375
BATT_MODEL_RAW:,34,992.86917164,4.780418396,4.7702541351,0.40657043457
BATT_MODEL_RAW:,35,1022.9550244,4.7790527344,4.7689094543,0.40573120117
BATT_MODEL_RAW:,36,1053.0409661,4.7776966095,4.7675762177,0.40481567383
BATT_MODEL_RAW:,37,1083.126864,4.7763500214,4.7662467957,0.40412902832
BATT_MODEL_RAW:,38,1113.2127498,4.7750205994,4.7649478912,0.4029083252
BATT_MODEL_RAW:,39,1143.2986087,4.7736968994,4.7636432648,0.40214538574
BATT_MODEL_RAW:,40,1173.3844054,4.7723789215,4.7623443604,0.40138244629
BATT_MODEL_RAW:,41,1203.4701884,4.7710723877,4.7610645294,0.40031433105
BATT_MODEL_RAW:,42,1233.556035,4.7697887421,4.7597923279,0.39985656738
BATT_MODEL_RAW:,43,1263.6417993,4.7685031891,4.7585315704,0.39886474609
BATT_MODEL_RAW:,44,1293.7275888,4.7672309875,4.7572746277,0.39825439453
BATT_MODEL_RAW:,45,1323.813367,4.7659549713,4.756023407,0.39726257324
BATT_MODEL_RAW:,46,1353.8991255,4.7646846771,4.7547798157,0.39619445801
BATT_MODEL_RAW:,47,1383.9848845,4.7634506226,4.7535552979,0.39581298828
BATT_MODEL_RAW:,48,1414.0706741,4.7622051239,4.752325058,0.39520263672
BATT_MODEL_RAW:,49,1444.1564333,4.760974884,4.7511138916,0.39443969727
