PW_MODEL_PW2281S_20_6 
Capacity=1.4595AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 0.90715146065, 0.042335987091 
1, 0.97950172424, 0.0343978405 
2, 1.0390331745, 0.032044649124 
3, 1.0697627068, 0.031001567841 
4, 1.0886540413, 0.030373334885 
5, 1.1019902229, 0.029946565628 
6, 1.1126492023, 0.02961397171 
7, 1.1210050583, 0.029358863831 
8, 1.1281311512, 0.029144287109 
9, 1.1343152523, 0.028959512711 
10, 1.1399607658, 0.028799772263 
11, 1.1447901726, 0.028644800186 
12, 1.1491689682, 0.028516054153 
13, 1.1533336639, 0.028383731842 
14, 1.1570281982, 0.02828001976 
15, 1.1604783535, 0.028188228607 
16, 1.163762331, 0.028091669083 
17, 1.1670293808, 0.027998685837 
18, 1.1700019836, 0.027914047241 
19, 1.1728329659, 0.027837753296 
20, 1.1755268574, 0.02777338028 
21, 1.1781842709, 0.027703046799 
22, 1.1806077957, 0.02764582634 
23, 1.1829352379, 0.02760052681 
24, 1.1851673126, 0.027530193329 
25, 1.1873955727, 0.027468204498 
26, 1.1894652843, 0.027420520782 
27, 1.1914663315, 0.027369260788 
28, 1.1934809685, 0.027344226837 
29, 1.195356369, 0.027306079865 
30, 1.1971929073, 0.027260780334 
31, 1.1989836693, 0.027207136154 
32, 1.2007851601, 0.027168989182 
33, 1.2024827003, 0.027140378952 
34, 1.2041420937, 0.027116537094 
35, 1.2057602406, 0.02707362175 
36, 1.2073795795, 0.027043819427 
37, 1.2088897228, 0.027012825012 
38, 1.2103681564, 0.026980638504 
39, 1.2118425369, 0.026949644089 
40, 1.2131919861, 0.026917457581 
41, 1.2144935131, 0.026890039444 
42, 1.215732336, 0.026851892471 
43, 1.2169420719, 0.026823282242 
44, 1.2180476189, 0.026783943176 
45, 1.2190783024, 0.026763677597 
46, 1.2200331688, 0.026774406433 
47, 1.2209615707, 0.02675652504 
48, 1.2218036652, 0.026693344116 
49, 1.2225768566, 0.02673625946 
50, 1.2232797146, 0.026696920395 
51, 1.2240040302, 0.026712417603 
52, 1.2246685028, 0.026698112488 
53, 1.2252860069, 0.026681423187 
54, 1.2258870602, 0.026655197144 
55, 1.2264299393, 0.026644468307 
56, 1.2269494534, 0.026625394821 
57, 1.2274501324, 0.026626586914 
58, 1.227953434, 0.026603937149 
59, 1.2284250259, 0.026597976685 
60, 1.2288901806, 0.026586055756 
61, 1.2293581963, 0.026581287384 
62, 1.2298386097, 0.026565790176 
63, 1.2303099632, 0.026558637619 
64, 1.2307884693, 0.026550292969 
65, 1.2312855721, 0.026540756226 
66, 1.2317721844, 0.026533603668 
67, 1.2322702408, 0.026525259018 
68, 1.2327702045, 0.026521682739 
69, 1.233284235, 0.026515722275 
70, 1.2337722778, 0.026519298553 
71, 1.2342596054, 0.026531219482 
72, 1.2347428799, 0.026534795761 
73, 1.23523283, 0.026520490646 
74, 1.2357022762, 0.026520490646 
75, 1.2361490726, 0.026518106461 
76, 1.2365911007, 0.026506185532 
77, 1.2369945049, 0.026490688324 
78, 1.2373757362, 0.026499032974 
79, 1.2377417088, 0.026490688324 
80, 1.2381048203, 0.026496648788 
81, 1.2384235859, 0.02650141716 
82, 1.2387199402, 0.02649307251 
83, 1.2390055656, 0.026500225067 
84, 1.2392961979, 0.026506185532 
85, 1.2395701408, 0.026528835297 
86, 1.2398686409, 0.026524066925 
87, 1.2401924133, 0.026516914368 
88, 1.2405872345, 0.026527643204 
89, 1.2410507202, 0.026541948318 
90, 1.2416303158, 0.026541948318 
91, 1.242408514, 0.02654671669 
92, 1.243383646, 0.026547908783 
93, 1.2446858883, 0.026545524597 
94, 1.2464454174, 0.026526451111 
95, 1.2489638329, 0.026502609253 
96, 1.2523567677, 0.026473999023 
97, 1.2571561337, 0.026413202286 
98, 1.2639992237, 0.02632021904 
99, 1.2741384506, 0.026146173477 
100, 1.2903840542, 0.025534629822 
