PW_MODEL_PW2281S_20_6 
Capacity=1.6746AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 1.0896606445, 3.5405476888 
1, 1.235458374, 1.1210123698 
2, 1.3154792786, 0.79790751139 
3, 1.3848152161, 0.68868001302 
4, 1.487827301, 0.58403015137 
5, 1.5930976868, 0.51854451497 
6, 1.7119941711, 0.48688252767 
7, 1.8444480896, 0.46666463216 
8, 1.9925804138, 0.43970743815 
9, 2.1119155884, 0.41071573893 
10, 2.2070770264, 0.39749145508 
11, 2.2812461853, 0.39049784342 
12, 2.3439750671, 0.38579305013 
13, 2.3947143555, 0.38223266602 
14, 2.4393692017, 0.37752787272 
15, 2.4765930176, 0.37371317546 
16, 2.5154495239, 0.35629272461 
17, 2.5421829224, 0.34891764323 
18, 2.5663604736, 0.34573872884 
19, 2.587310791, 0.34357706706 
20, 2.6073608398, 0.341796875 
21, 2.6252861023, 0.34065246582 
22, 2.6425895691, 0.33899943034 
23, 2.658000946, 0.33849080404 
24, 2.6734275818, 0.33721923828 
25, 2.6874732971, 0.33632914225 
26, 2.7014007568, 0.33480326335 
27, 2.7142524719, 0.33315022786 
28, 2.7267837524, 0.33124287923 
29, 2.7382049561, 0.33111572266 
30, 2.7496185303, 0.3303527832 
31, 2.7609901428, 0.32793680827 
32, 2.7734947205, 0.3173828125 
33, 2.7828330994, 0.31483968099 
34, 2.7919692993, 0.31318664551 
35, 2.8005256653, 0.31267801921 
36, 2.809425354, 0.31077067057 
37, 2.8174285889, 0.30988057454 
38, 2.8255996704, 0.30873616536 
39, 2.8331031799, 0.30721028646 
40, 2.8405227661, 0.3059387207 
41, 2.8472061157, 0.30504862467 
42, 2.8538246155, 0.30415852865 
43, 2.8598518372, 0.30263264974 
44, 2.8655281067, 0.30148824056 
45, 2.8704414368, 0.30047098796 
46, 2.8748703003, 0.30008951823 
47, 2.8788337708, 0.2997080485 
48, 2.8824539185, 0.29894510905 
49, 2.8857040405, 0.29894510905 
50, 2.8886299133, 0.2986907959 
51, 2.8911056519, 0.29881795247 
52, 2.8934898376, 0.29894510905 
53, 2.8959197998, 0.2991994222 
54, 2.8983726501, 0.29856363932 
55, 2.9004325867, 0.29729207357 
56, 2.9019050598, 0.29780069987 
57, 2.9030342102, 0.2986907959 
58, 2.9045181274, 0.29945373535 
59, 2.9058494568, 0.29881795247 
60, 2.9068565369, 0.2991994222 
61, 2.9078941345, 0.29958089193 
62, 2.9084129333, 0.30034383138 
63, 2.9094696045, 0.3002166748 
64, 2.9102172852, 0.2997080485 
65, 2.910697937, 0.30047098796 
66, 2.9106941223, 0.30136108398 
67, 2.9107627869, 0.30212402344 
68, 2.9111022949, 0.30237833659 
69, 2.9115867615, 0.30225118001 
70, 2.9120254517, 0.30186971029 
71, 2.9123306274, 0.30174255371 
72, 2.9125671387, 0.30136108398 
73, 2.9126701355, 0.30123392741 
74, 2.9126472473, 0.30123392741 
75, 2.9125595093, 0.30097961426 
76, 2.9123039246, 0.30072530111 
77, 2.9119148254, 0.30047098796 
78, 2.9113731384, 0.30008951823 
79, 2.9106636047, 0.30008951823 
80, 2.9097137451, 0.3002166748 
81, 2.9083900452, 0.30047098796 
82, 2.9070129395, 0.30136108398 
83, 2.9067611694, 0.2997080485 
84, 2.9057044983, 0.29907226563 
85, 2.9049949646, 0.29767354329 
86, 2.9037437439, 0.29703776042 
87, 2.9030914307, 0.29614766439 
88, 2.9026451111, 0.29436747233 
89, 2.9015541077, 0.2939860026 
90, 2.9002914429, 0.29424031576 
91, 2.8990821838, 0.29424031576 
92, 2.8984718323, 0.29449462891 
93, 2.8980751038, 0.29449462891 
94, 2.8976516724, 0.29462178548 
95, 2.8967819214, 0.29602050781 
96, 2.8960342407, 0.29602050781 
97, 2.8943099976, 0.2981821696 
98, 2.8929367065, 0.30199686686 
99, 2.9133148193, 0.30314127604 
100, 3.2433547974, 0.31560262044 
