SourceMeter Model:,2450
SourceMeter S/N:,04130257
SourceMeter Firmware:,1.6.1a

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,3.2449908257
TEST_PARAM.vcutoff:,1

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,0.03
TEST_PARAM.max_discharge_current:,0.03

TEST_PARAM.measure_interval:,60

TEST_PARAM.discharge_start_time:,09/12/17 01:15:03
TEST_PARAM.discharge_stop_time:,09/14/17 09:04:13

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,1,0.0348027,3.2433547974,3.2338867188,0.31560262044
BATT_MODEL_RAW:,2,60.039063,3.1853637695,3.1760444641,0.310643514
BATT_MODEL_RAW:,3,120.04447416,3.1454963684,3.1362571716,0.30797322591
BATT_MODEL_RAW:,4,180.04540572,3.1149902344,3.1058311462,0.30530293783
BATT_MODEL_RAW:,5,240.04924208,3.090927124,3.0818061829,0.30403137207
BATT_MODEL_RAW:,6,300.05460854,3.0713157654,3.0622215271,0.30314127604
BATT_MODEL_RAW:,7,360.06012748,3.0549163818,3.0458030701,0.30377705892
BATT_MODEL_RAW:,8,420.0603014,3.0408821106,3.0317687988,0.30377705892
BATT_MODEL_RAW:,9,480.06488754,3.0286750793,3.0195465088,0.30428568522
BATT_MODEL_RAW:,10,540.0694396,3.0178604126,3.0087394714,0.30403137207
BATT_MODEL_RAW:,11,600.07346018,3.0082054138,2.9990653992,0.30466715495
BATT_MODEL_RAW:,12,660.0736824,2.9994735718,2.9903106689,0.3054300944
BATT_MODEL_RAW:,13,720.0744334,2.9915390015,2.9823799133,0.30530293783
BATT_MODEL_RAW:,14,780.07551818,2.9842758179,2.9751167297,0.30530293783
BATT_MODEL_RAW:,15,840.08139148,2.9776039124,2.9684410095,0.3054300944
BATT_MODEL_RAW:,16,900.08692756,2.9714393616,2.9622764587,0.3054300944
BATT_MODEL_RAW:,17,960.09267636,2.9657363892,2.9565849304,0.30504862467
BATT_MODEL_RAW:,18,1020.0986952,2.9604606628,2.9513244629,0.30453999837
BATT_MODEL_RAW:,19,1080.0990437,2.9555931091,2.9464492798,0.30479431152
BATT_MODEL_RAW:,20,1140.1048085,2.9510993958,2.9419670105,0.3044128418
BATT_MODEL_RAW:,21,1200.1102856,2.9469451904,2.9377975464,0.3049214681
BATT_MODEL_RAW:,22,1260.1105056,2.9430885315,2.9339561462,0.3044128418
BATT_MODEL_RAW:,23,1320.1160003,2.9395446777,2.9304161072,0.30428568522
BATT_MODEL_RAW:,24,1380.11752,2.9362449646,2.927116394,0.30428568522
BATT_MODEL_RAW:,25,1440.117797,2.9331932068,2.9240722656,0.30403137207
BATT_MODEL_RAW:,26,1500.1179962,2.9303588867,2.9212417603,0.30390421549
BATT_MODEL_RAW:,27,1560.120705,2.9276924133,2.918586731,0.30352274577
BATT_MODEL_RAW:,28,1620.1267306,2.9252281189,2.9161262512,0.30339558919
BATT_MODEL_RAW:,29,1680.1326717,2.9229049683,2.9138069153,0.30326843262
BATT_MODEL_RAW:,30,1740.1336588,2.9207382202,2.9116401672,0.30326843262
BATT_MODEL_RAW:,31,1800.1394907,2.9187011719,2.9096069336,0.30314127604
BATT_MODEL_RAW:,32,1860.1446808,2.9167900085,2.9076843262,0.30352274577
BATT_MODEL_RAW:,33,1920.145233,2.9149932861,2.9059028625,0.30301411947
BATT_MODEL_RAW:,34,1980.1511967,2.9133148193,2.9042205811,0.30314127604
BATT_MODEL_RAW:,35,2040.1556281,2.91173172,2.9026298523,0.30339558919
BATT_MODEL_RAW:,36,2100.1557923,2.9102478027,2.9011497498,0.30326843262
BATT_MODEL_RAW:,37,2160.1617299,2.9088401794,2.8997383118,0.30339558919
BATT_MODEL_RAW:,38,2220.1677856,2.9075393677,2.8984451294,0.30314127604
BATT_MODEL_RAW:,39,2280.1694295,2.9063186646,2.8972091675,0.30364990234
BATT_MODEL_RAW:,40,2340.1747234,2.905166626,2.8960647583,0.30339558919
BATT_MODEL_RAW:,41,2400.1804469,2.904094696,2.8949928284,0.30339558919
BATT_MODEL_RAW:,42,2460.1850027,2.9030914307,2.8939857483,0.30352274577
BATT_MODEL_RAW:,43,2520.1865532,2.9021377563,2.8930358887,0.30339558919
BATT_MODEL_RAW:,44,2580.1912734,2.9012641907,2.8921737671,0.30301411947
BATT_MODEL_RAW:,45,2640.1916746,2.9004440308,2.8913574219,0.30288696289
BATT_MODEL_RAW:,46,2700.1972797,2.8996963501,2.8906059265,0.30301411947
BATT_MODEL_RAW:,47,2760.2032417,2.8989982605,2.8899078369,0.30301411947
BATT_MODEL_RAW:,48,2820.2087155,2.8983535767,2.8892745972,0.30263264974
BATT_MODEL_RAW:,49,2880.2144257,2.8977775574,2.8886909485,0.30288696289
BATT_MODEL_RAW:,50,2940.2192176,2.897228241,2.8881607056,0.30225118001
BATT_MODEL_RAW:,51,3000.2194512,2.8967323303,2.8876647949,0.30225118001
BATT_MODEL_RAW:,52,3060.2205481,2.8962936401,2.8872146606,0.30263264974
BATT_MODEL_RAW:,53,3120.2249892,2.8958702087,2.8867874146,0.30275980632
BATT_MODEL_RAW:,54,3180.2298903,2.8954811096,2.8864059448,0.30250549316
BATT_MODEL_RAW:,55,3240.2354862,2.8951263428,2.8860435486,0.30275980632
BATT_MODEL_RAW:,56,3300.2357025,2.8948059082,2.8857307434,0.30250549316
BATT_MODEL_RAW:,57,3360.2415118,2.8945198059,2.8854408264,0.30263264974
BATT_MODEL_RAW:,58,3420.242571,2.8942565918,2.8851661682,0.30301411947
BATT_MODEL_RAW:,59,3480.2432176,2.89402771,2.8849411011,0.30288696289
