PW_MODEL_PW2281S_20_6 
Capacity=1.4266AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 2.4995079041, 0.062255859375 
1, 2.8698234558, 0.050964355469 
2, 3.064868927, 0.049896240234 
3, 3.1787185669, 0.049133300781 
4, 3.261390686, 0.048675537109 
5, 3.3259773254, 0.048522949219 
6, 3.3778266907, 0.048522949219 
7, 3.41979599, 0.048217773438 
8, 3.4437103271, 0.048294067383 
9, 3.4547042847, 0.048065185547 
10, 3.4622688293, 0.048217773438 
11, 3.4683761597, 0.048065185547 
12, 3.4736709595, 0.047988891602 
13, 3.4784469604, 0.04768371582 
14, 3.4830970764, 0.04768371582 
15, 3.4879150391, 0.04753112793 
16, 3.4938392639, 0.047454833984 
17, 3.5021018982, 0.047378540039 
18, 3.5120353699, 0.047302246094 
19, 3.5217056274, 0.047225952148 
20, 3.5317459106, 0.047225952148 
21, 3.542049408, 0.047073364258 
22, 3.5510444641, 0.046920776367 
23, 3.5587158203, 0.046997070313 
24, 3.56590271, 0.046997070313 
25, 3.5731697083, 0.046997070313 
26, 3.5801696777, 0.047073364258 
27, 3.5866394043, 0.047225952148 
28, 3.5924224854, 0.047149658203 
29, 3.5975608826, 0.047149658203 
30, 3.6021614075, 0.047225952148 
31, 3.6064682007, 0.047073364258 
32, 3.6105918884, 0.047073364258 
33, 3.6145820618, 0.046920776367 
34, 3.6186141968, 0.046920776367 
35, 3.6226959229, 0.046768188477 
36, 3.6268692017, 0.046768188477 
37, 3.6311302185, 0.046920776367 
38, 3.6355743408, 0.046615600586 
39, 3.6402053833, 0.046691894531 
40, 3.6450309753, 0.046691894531 
41, 3.6501235962, 0.046310424805 
42, 3.6554794312, 0.046691894531 
43, 3.6611099243, 0.046463012695 
44, 3.6669921875, 0.04638671875 
45, 3.6732330322, 0.046310424805 
46, 3.6797943115, 0.046310424805 
47, 3.6866340637, 0.04638671875 
48, 3.6938972473, 0.046157836914 
49, 3.701499939, 0.045928955078 
50, 3.7093315125, 0.045928955078 
51, 3.7174835205, 0.045852661133 
52, 3.7258415222, 0.045700073242 
53, 3.7343540192, 0.045738220215 
54, 3.7428665161, 0.045700073242 
55, 3.7514438629, 0.045700073242 
56, 3.759929657, 0.045509338379 
57, 3.7681808472, 0.045547485352 
58, 3.7762928009, 0.045394897461 
59, 3.7842235565, 0.045394897461 
60, 3.7920417786, 0.045394897461 
61, 3.7997550964, 0.045318603516 
62, 3.8076553345, 0.04524230957 
63, 3.8157253265, 0.045356750488 
64, 3.8238792419, 0.04524230957 
65, 3.8322372437, 0.045318603516 
66, 3.8405799866, 0.045280456543 
67, 3.8487739563, 0.045394897461 
68, 3.8566150665, 0.045204162598 
69, 3.8642196655, 0.045318603516 
70, 3.8715553284, 0.045166015625 
71, 3.8785877228, 0.045318603516 
72, 3.8853683472, 0.045127868652 
73, 3.8916797638, 0.044975280762 
74, 3.8976192474, 0.04508972168 
75, 3.9036006927, 0.044975280762 
76, 3.9103393555, 0.044822692871 
77, 3.9179096222, 0.045127868652 
78, 3.9260807037, 0.045166015625 
79, 3.9348945618, 0.045166015625 
80, 3.9441642761, 0.045127868652 
81, 3.9537734985, 0.04524230957 
82, 3.9635238647, 0.045204162598 
83, 3.9734764099, 0.045204162598 
84, 3.9834060669, 0.045356750488 
85, 3.9929943085, 0.04566192627 
86, 4.0021133423, 0.045547485352 
87, 4.0104007721, 0.045585632324 
88, 4.0176467896, 0.04566192627 
89, 4.0240020752, 0.045585632324 
90, 4.0295314789, 0.045852661133 
91, 4.0344200134, 0.045928955078 
92, 4.038936615, 0.046005249023 
93, 4.0435295105, 0.046081542969 
94, 4.0485858917, 0.046157836914 
95, 4.0542831421, 0.046157836914 
96, 4.0608386993, 0.046234130859 
97, 4.0683059692, 0.046195983887 
98, 4.076795578, 0.045928955078 
99, 4.0863990784, 0.045051574707 
100, 4.1001338959, 0.040664672852 
