SourceMeter Model:,2450
SourceMeter S/N:,01419952
SourceMeter Firmware:,1.6.3d

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,4.1001787186
TEST_PARAM.vcutoff:,2.5

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,0.05
TEST_PARAM.max_discharge_current:,0.05

TEST_PARAM.measure_interval:,10

TEST_PARAM.discharge_start_time:,10/16/17 11:59:14
TEST_PARAM.discharge_stop_time:,10/17/17 16:31:11

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,1,0.0348085,4.1001338959,4.0981006622,0.040664672852
BATT_MODEL_RAW:,2,10.03523034,4.0994720459,4.0974292755,0.040855407715
BATT_MODEL_RAW:,3,20.03602568,4.0990924835,4.0970535278,0.04077911377
BATT_MODEL_RAW:,4,30.03675512,4.0987873077,4.09674263,0.040893554688
BATT_MODEL_RAW:,5,40.03759416,4.0985488892,4.0965003967,0.040969848633
BATT_MODEL_RAW:,6,50.03787362,4.0983276367,4.0962696075,0.041160583496
BATT_MODEL_RAW:,7,60.03850016,4.0981197357,4.0960655212,0.041084289551
BATT_MODEL_RAW:,8,70.03953976,4.0979309082,4.0958652496,0.041313171387
BATT_MODEL_RAW:,9,80.03981004,4.097743988,4.0956840515,0.041198730469
BATT_MODEL_RAW:,10,90.04027332,4.097574234,4.0955047607,0.041389465332
BATT_MODEL_RAW:,11,100.0411172,4.097410202,4.0953292847,0.041618347168
BATT_MODEL_RAW:,12,110.0416724,4.0972423553,4.0951709747,0.041427612305
BATT_MODEL_RAW:,13,120.04276164,4.0970821381,4.0950069427,0.04150390625
BATT_MODEL_RAW:,14,130.04334606,4.0969257355,4.0948429108,0.041656494141
BATT_MODEL_RAW:,15,140.04403136,4.0967712402,4.0946846008,0.041732788086
BATT_MODEL_RAW:,16,150.04511248,4.0966281891,4.0945396423,0.041770935059
BATT_MODEL_RAW:,17,160.04563252,4.0964756012,4.0943813324,0.041885375977
