	Common Settings,	
	.Source/Sweep Points,	101
	.Stepper,	base
	.Stepper Points,	5
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	base
	..Instrument,	New Top 2450
	...Model,	2450
	...Serial Number,	01419964
	..Source Settings,	
	...Mode,	DC
	...Function,	Current Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	5E-05
	...Stop,	0.0004
	...Step,	8.75E-05
	...Limit,	20
	..Measure Settings,	
	...Current,	Measured
	...Voltage,	False
	...Range,	Auto
	...Minimum Range,	0.02
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Front
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	collector
	..Instrument,	Bottom 2450
	...Model,	2450
	...Serial Number,	01419958
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	0
	...Stop,	4
	...Step,	0.04
	...Limit,	1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-08
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Front
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","base = 5E-05Abase Time (s)","base = 5E-05Abase Current (A)","base = 5E-05Acollector Voltage (V)","base = 5E-05Acollector Current (A)","base = 0.0001375Abase Time (s)","base = 0.0001375Abase Current (A)","base = 0.0001375Acollector Voltage (V)","base = 0.0001375Acollector Current (A)","base = 0.000225Abase Time (s)","base = 0.000225Abase Current (A)","base = 0.000225Acollector Voltage (V)","base = 0.000225Acollector Current (A)","base = 0.0003125Abase Time (s)","base = 0.0003125Abase Current (A)","base = 0.0003125Acollector Voltage (V)","base = 0.0003125Acollector Current (A)","base = 0.0004Abase Time (s)","base = 0.0004Abase Current (A)","base = 0.0004Acollector Voltage (V)","base = 0.0004Acollector Current (A)"
"1","0","4.99996531289071E-05","4.78444962936919E-06","-4.93344159622211E-05","10.3364869","0.000137495386297815","2.31761077884585E-06","-0.000134417452500202","19.5802728","0.000224995063035749","2.46019226324279E-06","-0.000217724707908928","28.8123129","0.000312492455122992","2.95924837701023E-06","-0.000299059058306739","38.04759","0.000399989599827677","3.18739876092877E-06","-0.00037811987567693"
"2","0.43931342","4.99996749567799E-05","0.040004838258028","0.000301432650303468","10.55229488","0.000137495531816967","0.0399801842868328","0.00102484447415918","19.79610618","0.000224995557800867","0.0400061085820198","0.00179803417995572","29.02810486","0.000312492717057467","0.040004026144743","0.00252981320954859","38.26340006","0.000399990094592795","0.0400021597743034","0.00319506786763668"
"3","0.79463372","4.9999693146674E-05","0.0800070688128471","0.0014710066607222","10.62656432","0.000137495517265052","0.0799945592880249","0.00412020273506641","20.07809926","0.000224995412281714","0.0799876973032951","0.00642957352101803","29.31011136","0.000312492833472788","0.0799810886383057","0.00839259847998619","38.54539664","0.000399989978177473","0.079977311193943","0.0100542223080993"
"4","1.07663296","4.99997622682713E-05","0.119997404515743","0.00371301081031561","10.90857938","0.000137495211674832","0.119980327785015","0.00877417158335447","20.15239282","0.000224995514145121","0.120004296302795","0.0126924272626638","29.38439838","0.000312492251396179","0.120003513991833","0.0158656667917967","38.61967708","0.000399990356527269","0.120001122355461","0.0185021236538887"
"5","1.15090996","4.99996422149707E-05","0.159990713000298","0.00590260652825236","10.98284708","0.000137495502713136","0.160004749894142","0.01295255869627","20.43439642","0.000224995179451071","0.160002067685127","0.0181614011526108","29.66642514","0.000312492164084688","0.160000890493393","0.0223645847290754","38.90170188","0.000399989396100864","0.160000428557396","0.0258815828710794"
"6","1.22518748","4.99996749567799E-05","0.199989825487137","0.00713389040902257","11.26486628","0.000137495328090154","0.200008451938629","0.0154927046969533","20.50868862","0.000224995135795325","0.20000584423542","0.021645275875926","29.7406908","0.000312492105877027","0.200005039572716","0.0266538709402084","38.97596628","0.000399989628931507","0.200003832578659","0.0309089757502079"
"7","1.29947704","4.99996676808223E-05","0.240006729960442","0.0076650083065033","11.33913266","0.000137495604576543","0.240026026964188","0.0167188197374344","20.58296038","0.00022499515034724","0.240022987127304","0.0234332587569952","29.81496482","0.000312491902150214","0.240020021796227","0.0289648696780205","39.05022438","0.00039998977445066","0.240019917488098","0.0337351933121681"
"8","1.37374584","4.99996494909283E-05","0.27996414899826","0.00793240498751402","11.41342054","0.000137495546368882","0.279984354972839","0.0173471290618181","20.65723574","0.00022499545593746","0.279981017112732","0.0243322737514973","29.88925802","0.000312492222292349","0.279979914426804","0.0301305670291185","39.1245279","0.000399989396100864","0.279978096485138","0.0351842530071735"
"9","1.44800472","4.99996749567799E-05","0.319967746734619","0.00811491813510656","11.48771114","0.000137495720991865","0.319987624883652","0.0177892614156008","20.73152486","0.000224995310418308","0.319985330104828","0.0249133594334126","29.96352074","0.000312492222292349","0.319983929395676","0.0308324564248323","39.19880192","0.000399989337893203","0.319981217384338","0.0360134392976761"
"10","1.52228484","4.99996895086952E-05","0.359982669353485","0.00825829058885574","11.5619758","0.000137495473609306","0.360003352165222","0.0181782189756632","20.80579616","0.000224995194002986","0.359998404979706","0.0254016276448965","30.03782186","0.000312491989461705","0.359999001026154","0.0313857272267342","39.27306866","0.000399989425204694","0.359997451305389","0.0366244502365589"
